	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
L40407_at	Thyroid receptor interactor (TRIP9) gene	5.19E+04	2.43E+02	2.37E+04	2.41E+01	2.03E-01	2.76E+01	9.62E-02	1.14E-01	3.04E+03	5.82E-02	1.22E-01	3.46E+01	3.63E-02	6.16E-01	5.99E-02	3.15E-02	2.40E-01	3.76E-02	9.85E-02	2.16E-02	3.76E+00	1.03E-02	3.12E-02	5.80E+00	1.12E+02	2.27E-01	4.80E-01	6.43E+01	1.16E-01	1.15E-01	1.76E-01	2.38E-02	2.54E-02	3.19E-02	4.24E-02	7.44E-03	8.48E+02	6.98E-02	7.05E-01	7.48E+00	2.89E+04	3.40E-02
L40410_at	"Thyroid receptor interactor (TRIP3) mRNA, 3' end of cds"	3.70E+05	2.11E+02	4.41E+04	3.20E+04	1.29E+03	9.83E+02	5.25E+01	2.60E-01	1.46E+05	8.59E-02	2.68E-01	8.85E+02	3.02E+01	1.60E+02	2.40E+01	2.05E+04	7.98E+03	8.49E+01	4.74E-01	9.62E+02	1.71E+02	2.44E+04	3.95E+00	2.78E+02	3.34E+04	4.55E+03	1.49E-01	8.11E-02	2.72E+02	8.48E+04	6.34E+02	2.43E+02	1.52E-01	3.10E-01	3.84E-02	5.67E+00	2.45E+02	1.37E+02	1.84E+02	2.66E+01	3.23E+02	1.09E+03
L40411_at	"Thyroid receptor interactor (TRIP8) mRNA, 3' end of cds"	7.00E+03	1.57E+05	2.14E+01	2.65E+04	2.44E+03	7.89E+03	2.47E-02	9.11E+01	2.65E+05	2.93E-02	9.26E-02	1.16E+03	7.99E+04	8.71E+01	4.28E-01	7.13E+02	3.43E+05	1.61E+03	5.53E+02	2.51E+03	4.19E+03	1.32E+05	2.06E-01	2.70E-01	3.85E+03	2.39E+02	4.35E+02	5.22E+05	5.07E-01	7.79E-02	3.25E+02	3.21E+05	1.64E+04	1.52E+04	1.97E+04	2.88E+05	2.99E+03	2.56E+05	1.71E+03	1.59E+05	5.62E+03	1.16E+02
L40586_at	IDS Iduronate 2-sulfatase (Hunter syndrome)	3.12E+06	4.42E+02	9.39E+05	5.81E+04	9.64E+02	1.24E+03	4.52E+02	1.55E+04	8.80E+03	1.56E+05	5.36E+01	3.35E+03	2.56E+01	1.75E+05	1.49E+04	8.82E+03	2.36E+03	8.07E+03	1.12E+04	1.02E+05	2.55E+04	1.82E+04	1.17E+03	1.72E+02	1.16E+03	1.03E+03	1.61E+02	6.81E+04	1.04E+03	4.43E+01	1.75E+01	5.13E+01	1.60E+00	3.18E+04	1.23E+02	3.63E+03	9.97E+00	1.39E+05	9.49E+04	3.73E+04	2.30E+04	1.44E+03
L40636_at	(clone FBK III 16) protein tyrosine kinase (NET PTK) mRNA	9.38E+04	1.57E+03	2.04E+04	7.43E+06	1.60E+04	3.54E+04	1.52E+04	1.45E+05	2.54E+04	1.61E+04	7.82E+03	4.55E+04	1.29E+04	1.35E+05	1.83E+05	5.56E+03	5.34E+04	3.56E+05	5.68E+06	1.12E+04	8.48E+07	3.58E+04	5.98E+03	2.81E+07	9.67E+03	8.39E+04	6.72E+03	1.92E+07	1.48E+04	3.53E+05	6.97E+05	1.51E+03	1.01E+03	1.52E+07	1.59E+04	5.02E+03	6.41E+04	7.40E+03	7.87E+03	7.80E+04	1.18E+05	1.02E+07
L40904_at	LGALS1 Ubiquinol-cytochrome c reductase core protein II	1.24E+04	1.66E+04	4.51E+04	1.00E+03	5.95E+05	1.07E+05	5.59E+03	9.20E+03	7.87E+07	1.42E+06	6.58E+03	1.21E+05	2.29E+07	3.04E+03	3.45E+03	1.69E+03	7.41E+05	1.05E+03	5.52E+03	3.95E+04	2.06E+04	1.31E+04	2.07E+03	8.14E+03	2.96E+04	1.57E+05	1.33E+04	2.46E+04	2.66E+05	2.24E+04	3.56E+07	3.39E+03	9.04E+03	4.07E+03	4.01E+03	7.26E+04	1.47E+05	1.24E+04	2.90E+04	1.86E+07	4.27E+05	1.04E+06
L40933_at	Phosphoglucomutase-related protein (PGMRP) gene	1.79E+05	4.55E+04	1.33E+05	8.60E+04	1.45E+04	2.60E+04	2.48E+04	4.09E+01	7.73E+04	5.31E+03	3.59E+02	7.74E+05	2.50E+04	1.07E+02	8.78E+02	3.56E+01	6.43E+06	2.66E-01	4.34E+03	4.69E+04	1.05E+04	4.37E+03	2.80E+05	1.76E+02	4.32E+03	4.61E+06	7.32E+04	3.82E+01	3.79E+06	2.52E+05	1.24E+03	2.20E-02	3.58E-02	3.46E+00	6.78E-02	2.54E-02	1.83E+04	8.27E-02	5.45E-01	1.02E+00	1.98E+01	1.73E+04
L40992_at	"(clone PEBP2aA1) core-binding factor, runt domain, alpha subunit 1 (CBFA1) mRNA, 3' end of cds"	2.70E+06	1.12E+05	2.25E+04	1.38E+07	9.78E+04	6.87E+05	2.64E+04	1.49E+02	6.59E+03	5.02E+02	9.86E+01	9.81E+03	1.24E-01	6.97E+03	1.68E+04	1.24E+01	7.79E+03	1.01E-01	2.15E+04	1.39E+03	3.44E+04	2.66E+02	2.45E+04	2.32E+04	4.92E+04	2.54E+04	6.31E+03	1.01E+03	1.48E+02	2.05E+04	8.61E+04	1.97E-02	1.06E-02	5.19E-02	4.55E-02	1.63E-02	1.95E+03	1.12E-01	3.35E-01	1.80E-01	7.31E+03	2.66E+02
L41066_at	NF-AT3 mRNA	3.14E+04	5.95E+05	1.34E+04	7.69E+04	1.88E+04	9.41E+04	1.38E+04	3.85E+03	2.01E+11	7.13E+03	1.36E+06	2.01E+05	1.46E+04	1.09E+04	1.84E+04	6.25E+05	1.93E+04	6.38E+03	1.27E+04	9.41E+04	3.68E+04	3.32E+03	8.67E+03	6.47E+01	2.33E+04	1.03E+04	1.57E+03	5.20E+02	4.50E+03	2.16E+05	2.06E+04	2.19E+00	1.31E+03	2.93E+03	6.94E-02	2.61E-01	6.93E+05	3.97E+02	3.96E+04	9.49E+03	1.14E+06	1.19E+04
L41067_at	Transcription factor NFATx mRNA	3.85E+04	6.21E+03	8.60E+03	6.47E+06	1.10E+05	3.73E+04	2.02E+04	5.16E+04	4.16E+04	8.73E+05	1.88E+05	2.27E+04	2.59E+04	6.48E+03	6.56E+04	2.58E+04	1.06E+05	4.63E+03	5.99E+06	6.41E+04	8.51E+03	5.08E+03	1.40E+06	5.20E+03	6.82E+04	7.73E+04	1.05E+05	2.54E+05	5.83E+04	2.89E+04	1.51E+04	4.84E+05	9.44E+04	2.77E+04	5.94E+04	9.53E+04	2.13E+04	1.43E+04	8.24E+03	1.02E+05	7.84E+05	1.60E+05
L41143_at	Expressed pseudo TCTA mRNA at t(1;3) translocation site	4.46E+05	6.55E+04	2.91E+05	1.80E+04	3.90E+04	4.82E-02	1.95E+05	2.52E-03	1.34E+06	7.75E+04	2.58E+06	7.44E+04	4.45E+05	3.41E+04	9.91E+05	1.22E+07	3.20E+04	3.96E+06	1.12E+05	4.18E+05	1.53E+06	1.85E+05	2.49E+06	2.95E+05	5.45E+04	2.77E+05	6.80E+02	6.92E+07	2.42E+03	1.10E+06	2.98E+06	8.29E+04	5.33E+00	1.51E+05	4.37E-03	6.13E-02	1.45E+05	7.72E-03	3.67E-02	2.64E+05	2.13E+02	2.39E+00
L41147_at	5-HT6 serotonin receptor mRNA	4.45E+05	1.85E+02	2.96E+05	8.02E+03	5.82E+02	1.38E+03	5.20E+01	1.23E+02	1.55E+04	3.31E+00	2.54E+02	1.34E+04	1.15E+01	4.28E+00	3.12E+02	4.07E+01	3.67E+03	2.06E+01	6.14E+00	3.77E+00	5.77E+03	1.03E+03	1.27E+00	5.59E+00	1.01E+00	5.39E+03	1.21E+02	1.53E+04	3.25E-01	5.41E+02	8.29E+00	4.29E-01	1.14E+00	1.54E+02	1.30E+02	6.65E+01	7.18E+02	4.05E+02	1.36E+05	7.95E+01	1.60E+03	1.76E+02
L41162_at	"COL9A3 Collagen, type IX, alpha 3"	8.88E+04	2.07E+04	9.50E-02	8.30E+04	3.45E+03	1.05E+04	3.41E+03	1.52E+01	1.01E+04	1.93E-02	3.41E-02	4.50E+03	8.17E+03	1.08E-01	4.63E-02	1.78E-02	4.94E-01	4.35E-02	1.14E+03	3.72E+03	3.36E+05	2.60E-02	1.90E+03	8.45E+03	1.40E+03	1.07E+01	1.41E+06	2.95E+03	1.69E+04	6.89E+04	3.48E+04	4.71E+03	1.98E+04	9.03E+02	2.77E+04	8.05E+05	3.13E+02	8.41E+03	1.86E+04	7.68E+04	2.08E+04	1.31E+03
L41268_f_at	Nkat2b mRNA	8.71E+03	1.20E+05	5.82E+06	1.83E+04	1.03E+04	7.62E+05	5.08E+03	1.44E+04	1.46E+04	6.05E+03	3.93E+02	9.96E+04	1.21E+04	9.10E+04	6.34E+05	3.70E+05	2.15E+02	6.03E+03	5.63E+04	1.21E+04	1.70E+04	1.14E+03	1.69E+05	2.03E+04	6.44E+04	3.80E+03	2.12E+04	2.83E+04	9.78E+03	6.28E+03	3.65E+04	5.04E+04	1.58E+05	1.10E+05	5.25E+03	3.53E+03	1.39E+04	1.51E+05	3.54E+06	1.43E+05	9.45E+03	2.72E+04
L41349_at	"PLCB4 Phospholipase C, beta 4"	2.68E+03	3.10E+03	2.81E+04	7.28E+04	9.62E+02	2.33E+02	1.14E+01	1.16E+02	2.26E+03	7.02E+01	1.23E+04	1.82E+05	5.93E+02	2.93E+03	1.08E+03	1.04E+04	5.29E+03	9.85E+03	8.78E+01	1.58E+04	1.37E+04	6.76E+01	1.61E+03	1.17E+05	3.21E+03	1.07E+03	1.62E+03	6.22E+03	1.39E+02	5.77E+03	1.47E+04	5.43E+03	1.27E+04	3.14E+02	3.32E+00	5.96E-01	2.57E+04	6.38E+02	2.67E+04	5.13E+02	2.64E+04	8.72E+03
L41351_at	Prostasin mRNA	1.65E+02	3.59E-02	2.36E+03	5.48E+02	5.06E+00	3.07E+01	1.99E+03	6.35E-02	1.62E+03	1.55E-01	6.63E-01	8.20E+03	3.72E-02	1.82E+03	1.13E-01	9.32E-02	2.34E+01	1.03E-01	3.00E+00	3.02E+04	4.77E+00	6.74E-02	5.80E+01	3.04E+03	3.62E+03	1.14E+03	3.29E-01	6.47E+00	1.44E+02	9.61E+04	6.76E+04	1.21E-02	1.40E-03	1.67E-02	5.53E-03	7.10E-03	2.09E+01	9.39E-03	6.64E-02	2.87E-02	1.42E+06	2.69E+04
L41390_at	"Core 2 beta-1,6-N-acetylglucosaminyltransferase (core 2 GnT) gene, exon 1"	7.69E+04	7.45E+02	7.07E+02	6.78E+03	6.40E+05	4.96E+01	4.55E+03	9.27E+01	1.28E+05	2.93E+02	8.51E+03	4.83E+03	8.84E+00	2.39E+00	1.53E+01	2.18E-02	4.01E+00	3.59E-01	6.87E+03	5.17E+02	1.03E+03	4.52E-02	2.99E+00	5.44E+02	1.79E+02	6.76E+03	1.48E+01	1.00E+03	4.25E+03	2.47E+02	2.54E+03	1.22E-02	8.98E-02	2.35E+03	1.97E-02	3.87E+00	2.11E+04	1.21E+01	1.55E+02	2.54E+01	2.19E+04	1.72E+04
L41559_at	PCBD 6-pyruvoyl-tetrahydropterin synthase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1)	5.96E+01	1.56E-01	1.96E+01	2.15E+00	1.26E+00	2.23E-01	3.06E+00	7.33E-01	1.22E+04	2.52E-01	1.77E-01	2.23E+03	7.08E-02	3.17E+01	5.88E+00	4.72E-01	1.50E+03	1.55E-01	2.04E-01	2.52E+00	9.48E+03	1.00E+00	9.55E+00	1.54E+01	1.40E+01	4.92E+02	5.73E-01	9.75E-02	1.63E+03	4.52E+01	6.69E+00	4.93E-02	2.99E-02	5.27E-02	6.31E-02	1.82E-02	6.52E+02	3.77E-01	6.62E+01	8.50E-02	2.70E+05	6.12E+02
L41607_at	"GCNT2 Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"	2.75E+04	6.56E+04	3.94E+04	3.19E+04	6.41E+03	4.82E+04	1.61E+06	1.56E+07	1.09E+05	4.23E+04	2.03E+06	1.92E+05	3.47E+04	2.48E+07	2.07E+05	2.11E+04	3.44E+06	1.35E+07	2.25E+06	3.19E+04	4.07E+05	1.33E+05	3.92E+05	1.89E+04	1.30E+05	4.61E+05	1.37E+05	2.10E+05	1.54E+04	3.59E+07	3.77E+04	2.54E+05	2.25E+06	1.40E+05	4.05E+04	1.18E+06	1.36E+05	7.71E+04	3.64E+05	5.97E+04	1.81E+05	4.42E+04
L41668_rna1_at	UDP-Galactose 4 epimerase (GALE) gene	1.40E+05	1.63E+04	1.68E+03	1.49E+05	1.63E+04	3.35E+03	2.29E+04	1.23E-01	2.00E+05	1.30E+00	3.99E+01	9.01E+03	1.12E+00	7.79E+02	6.02E+03	1.17E+03	1.79E+04	4.40E+02	6.51E+03	6.94E+02	1.17E+05	3.18E+07	3.09E+04	1.81E+04	5.87E+03	3.49E+03	4.27E+00	7.24E+02	2.91E+02	3.11E+05	4.58E+02	6.91E-02	5.30E-02	5.26E-02	5.75E-01	2.60E-02	3.29E+01	3.93E-01	5.92E+00	2.31E+02	2.54E+01	1.84E+03
L41680_at	"Alpha-2,8-polysialyltransferase (PST) gene"	3.21E+04	1.72E+05	5.07E+04	2.83E+04	2.08E+06	1.38E+05	2.42E+05	8.53E+04	1.43E+04	1.59E+06	8.29E+05	1.98E+06	1.44E+05	1.72E+05	4.21E+06	6.20E+03	2.64E+04	6.41E+05	2.13E+06	4.22E+06	1.35E+06	1.48E+05	5.77E+04	3.68E+04	7.65E+04	3.39E+05	4.91E+04	2.12E+06	1.56E+06	3.24E+06	2.47E+05	1.47E-01	9.70E-02	8.17E-02	1.11E-01	3.39E+02	2.73E+04	4.81E+06	1.14E+05	5.03E+04	2.57E+04	1.49E+04
L41690_at	"TNF receptor-1 associated protein (TRADD) mRNA, 3' end of cds"	1.35E+04	9.41E-01	3.65E+04	1.16E+04	1.52E+04	4.25E+02	8.77E-02	3.22E-02	8.92E+04	1.25E-01	9.24E+02	1.02E+06	7.71E-02	4.78E+01	9.37E-02	7.28E-02	2.29E+00	1.82E-02	3.01E-01	4.47E-02	1.32E+00	5.78E-02	5.71E+00	3.95E-01	1.08E+01	2.32E+02	2.77E-02	9.07E-02	1.80E+03	4.34E-01	1.21E+04	8.07E-03	7.88E-03	2.29E-02	1.24E-02	2.86E-02	6.07E+01	2.03E-02	3.26E-02	4.46E-02	1.06E+04	9.35E-02
L41816_at	Cam kinase I mRNA	8.68E+03	2.24E+02	2.40E+05	8.20E+06	6.09E+03	5.84E+03	4.88E-02	1.50E-02	2.51E+04	1.80E-01	4.64E-02	5.45E+02	3.29E-02	1.11E-01	3.77E-02	1.95E-02	2.42E-01	1.07E-02	2.85E-02	1.77E-02	6.76E-02	7.74E-03	7.27E+02	2.91E+03	1.66E+03	1.75E+03	6.88E-02	6.48E-02	6.42E-02	3.75E+02	2.99E+06	4.51E-03	5.95E-03	5.73E-03	8.44E-03	5.83E-03	5.18E-02	7.57E-03	1.58E-02	1.33E-02	3.89E-02	9.92E-02
L41870_at	RB1 Retinoblastoma 1 (including osteosarcoma)	4.92E+03	7.01E+03	1.01E+04	1.16E+02	1.06E+04	8.24E+03	1.96E+03	1.87E+05	1.39E+05	4.35E+03	5.94E+03	2.47E+03	4.06E+03	2.38E+03	5.59E+03	7.88E+02	1.08E+04	4.82E+04	2.68E+02	2.53E+04	2.79E+03	1.36E+04	4.11E+04	6.96E+03	1.46E+05	5.71E+03	1.24E+05	1.04E+04	1.21E+04	1.93E+02	2.97E+02	4.55E+03	1.55E+04	2.09E+03	2.20E+04	1.03E+03	5.00E+03	1.90E+07	9.31E+03	4.44E+04	2.50E+04	1.01E+05
L41887_rna1_at	"Splicing factor, arginine/serine-rich 7 (SFRS7) gene"	4.26E+04	2.79E-02	8.31E+03	6.01E+05	1.39E+03	1.18E+04	3.34E+04	4.36E+04	1.89E+04	6.05E+03	1.53E+05	2.32E+04	1.97E+04	6.98E+02	2.76E+04	4.65E+03	3.01E+04	2.62E+03	5.20E+04	1.10E+04	1.50E+04	1.60E+03	1.06E+04	8.44E+03	1.68E+05	2.33E+05	2.09E+03	5.49E+03	2.44E+04	9.09E+03	4.05E+03	1.52E+06	2.08E-02	8.87E-03	3.56E+02	5.29E+01	3.82E-01	2.80E+01	1.22E+04	1.79E+04	9.31E+03	2.70E+05
L41913_at	"Retinoblastoma susceptibility protein (RB1) gene, exon 26, bases 174145-174668 in L11910"	1.36E+09	1.27E+04	8.18E+03	1.49E+04	1.31E+04	1.92E+04	8.32E-01	3.11E-01	2.06E+05	1.79E+05	2.26E+04	1.37E+05	7.54E+03	2.87E+01	3.02E+04	1.16E+03	2.00E+03	2.53E+03	1.83E+00	9.38E-02	8.30E+04	4.72E+00	1.19E+05	4.63E+03	1.36E+05	1.89E+04	1.41E+04	2.42E+03	5.98E+04	8.69E+03	2.04E+03	1.21E-01	8.13E+00	1.50E+04	1.37E+02	1.23E+03	1.74E+04	2.38E+03	2.98E+04	1.89E+04	4.62E+04	1.37E+06
L41919_rna1_at	HIC-1 gene fragment	2.65E+04	8.67E-02	3.77E+02	1.63E+04	1.29E+04	1.21E+01	1.88E+06	5.60E-02	7.70E+03	8.53E+00	1.84E-01	1.20E+03	6.84E-02	9.30E-01	5.66E+03	8.14E-02	4.38E+00	3.61E-02	1.38E-01	4.27E-02	5.91E+04	3.07E-02	1.52E-01	2.16E+00	1.36E+00	9.51E+00	6.82E-02	1.09E-01	4.36E-02	8.26E-02	1.49E+01	1.11E-02	6.13E-03	5.37E-02	3.84E-03	1.66E-02	1.91E+00	2.75E-02	2.98E-02	4.42E-02	3.01E+03	6.19E-02
L41939_at	"Receptor protein-tyrosine kinase (HEK5) mRNA, 3' end"	9.16E+04	1.02E+05	1.39E+07	6.75E+04	6.51E+05	5.32E+04	1.76E+05	8.86E+02	6.23E+03	5.44E+04	3.84E+06	4.10E+06	2.52E+05	4.53E+01	3.86E+04	8.76E-02	2.76E+04	2.12E+00	7.98E+02	9.20E+04	7.89E+03	9.74E+04	8.28E+04	3.64E+04	1.06E+05	1.83E+05	7.10E+06	1.22E+04	2.78E+04	2.08E+06	1.37E+05	2.15E-02	6.97E-01	1.06E-01	7.80E+04	2.11E+04	7.42E+03	2.37E+04	7.30E+05	5.31E-02	1.76E+05	3.59E+06
L42025_rna1_at	Cellular co-factor (RAB) gene	1.89E+03	2.72E+02	2.57E+02	6.39E+02	7.48E+03	2.46E+03	1.41E+05	1.56E+03	1.33E+04	2.84E-01	7.68E+03	1.01E+04	5.26E+03	1.55E+03	6.05E+03	3.39E+03	1.03E+04	7.27E+02	2.72E+03	1.53E+02	6.80E+03	1.25E+03	8.05E+00	2.18E+03	1.00E+04	2.55E+01	7.73E+02	1.72E+04	4.48E+02	1.84E+01	3.56E+01	2.38E-01	5.51E-01	2.60E+04	2.18E+00	1.17E+04	1.82E+02	4.09E+03	2.57E+03	7.59E+01	6.11E+03	6.33E+03
L42176_at	(clone 35.3) DRAL mRNA	7.78E+04	3.48E+03	1.62E+04	1.08E+06	2.01E+04	3.06E+05	3.68E+06	2.49E+05	2.87E+04	1.04E+04	2.64E+03	5.75E+03	5.38E+02	1.22E+04	3.84E+05	7.76E+03	1.00E+04	1.44E+04	2.05E+03	4.91E+04	2.04E+05	3.85E+04	1.31E+04	2.52E+04	5.23E+05	3.28E+04	5.26E+04	1.46E+10	7.34E+03	4.10E+04	8.32E+03	2.98E+03	6.25E+02	3.22E+03	6.80E+03	5.40E-01	5.45E+03	3.92E+05	1.74E+05	6.52E+04	3.09E+04	2.31E+04
L42243_cds1_at	IFNAR2 gene (interferon receptor) extracted from Homo sapiens (clone Q-2OD3) interferon receptor (IFNAR2) gene	6.51E+05	2.25E+07	1.44E+04	3.31E+05	1.49E+06	1.04E+05	7.18E+03	4.73E+04	1.43E+04	2.08E+04	3.36E+02	1.19E+04	4.79E+02	3.50E+04	3.90E+04	2.27E+05	3.07E+04	5.57E+02	1.28E+06	2.64E+02	7.33E+03	6.88E+02	9.98E+02	1.86E+04	4.07E+04	5.29E+04	8.48E+04	9.69E+08	1.69E+02	4.20E+03	1.07E+05	3.46E+01	4.18E+00	8.68E+03	1.66E+00	9.22E-02	4.44E+07	5.27E+04	8.01E+03	1.34E+04	3.22E+04	1.33E+04
L42324_at	"(clone GPCR W) G protein-linked receptor gene (GPCR) gene, 5' end of cds"	5.61E+04	7.15E+02	7.32E+05	2.18E+04	4.47E+03	6.29E+02	1.18E+04	8.00E-02	2.16E+04	1.83E-01	1.41E+00	5.33E+03	1.97E-01	1.94E+03	6.48E+02	1.15E+03	5.71E+03	6.27E+03	1.11E+05	3.97E+04	9.65E+02	1.11E+03	4.21E+04	2.44E-01	5.17E-02	3.19E+03	1.09E-01	2.37E+03	2.30E+00	7.17E+02	5.57E-01	3.64E-02	1.51E-02	8.65E-01	1.91E-02	2.53E-02	6.69E-02	1.37E-01	3.13E+04	1.03E-02	2.45E+05	3.70E+01
L42354_at	(clone 48ES4) mRNA fragment	2.78E+04	2.95E+03	1.19E-01	1.39E+04	4.54E+04	2.54E+03	3.95E+06	5.02E+02	7.71E+04	6.27E-02	2.99E-01	9.59E+03	2.11E+03	3.51E-01	2.86E+00	6.74E-01	4.90E+03	1.84E+02	2.37E+03	7.44E-02	2.25E+05	5.71E+00	1.09E+04	1.09E+04	6.71E+03	3.67E+01	4.58E+03	7.52E+05	3.39E+05	5.79E+04	1.50E+04	6.16E+03	5.13E-02	1.36E+05	5.27E+03	2.52E+00	1.48E+04	1.03E+05	2.39E+02	4.49E+02	4.68E+04	2.32E+04
L42373_at	Protein phosphatase 2A B56-alpha mRNA	8.33E+03	4.82E+01	5.47E+03	6.12E+05	2.20E+04	5.15E-02	3.21E+03	1.60E-02	5.76E+04	9.57E+02	1.76E+03	5.62E+04	7.33E+02	3.33E+02	2.39E+02	3.04E+02	4.03E+04	3.79E-02	2.59E+01	4.26E+00	1.12E+04	9.38E+00	5.55E+01	2.49E+05	2.53E+06	3.78E+04	1.36E+01	7.52E-02	1.07E+01	2.91E+05	4.83E+03	5.39E-02	4.72E-02	1.12E-01	1.79E-02	4.00E-02	5.02E+00	7.45E+00	8.94E+02	1.35E+00	1.06E+05	7.49E+03
L42374_s_at	PP2A B56-beta mRNA	1.00E+04	1.42E+04	3.15E+04	4.14E+05	1.58E+04	1.26E+04	7.68E+05	3.39E+04	9.32E+03	1.29E+04	4.18E+04	2.10E+04	5.29E+03	7.43E+05	7.31E+05	2.04E+05	9.00E+03	2.86E+03	1.72E+01	5.92E+03	9.11E+02	5.29E+03	6.92E+05	5.17E+06	1.80E+05	2.67E+04	2.44E+08	9.99E+03	1.98E+04	3.24E+06	9.92E+03	9.08E+05	1.32E-01	1.78E+04	3.28E-02	3.06E+01	1.46E+04	1.80E+04	2.70E+00	1.32E+06	8.39E+04	5.78E+03
L42379_at	"Quiescin (Q6) mRNA, partial cds"	8.41E+04	1.16E+03	4.03E-02	4.16E+02	1.65E+00	3.05E-01	1.32E-01	4.30E-02	2.39E+03	1.81E-02	2.06E-02	6.39E+02	5.66E-02	1.76E+00	1.01E-01	8.40E-02	3.25E+03	6.83E-02	4.05E-01	6.60E-02	1.01E+02	3.84E-02	6.71E-02	1.85E-01	2.00E-01	2.24E+01	5.99E-02	1.29E-01	3.89E-02	7.77E-02	3.62E-01	2.90E-02	3.86E-02	8.98E-02	3.10E-02	1.41E-02	7.20E+02	8.40E-02	1.19E-01	2.58E+00	1.12E+04	2.74E-01
L42450_at	"PDK1 Pyruvate dehydrogenase kinase, isoenzyme 1"	7.05E+03	2.22E+03	1.40E+04	2.98E+03	2.25E+05	1.77E+04	1.07E+04	3.53E+01	4.51E+03	7.68E+05	9.19E+03	1.47E+04	3.99E+05	6.89E+03	1.95E+04	1.56E+04	1.27E+04	9.12E+03	1.14E+06	4.32E+03	8.63E+04	1.71E+04	4.56E+06	1.17E+05	7.33E+04	1.16E+04	2.13E+04	1.71E+02	1.16E+04	1.93E+06	2.25E+04	4.72E+02	1.22E+02	9.72E+02	7.52E+04	3.27E+04	7.07E+03	1.89E+03	1.08E+02	9.01E+03	1.70E+03	9.44E+03
L42451_at	Pyruvate dehydrogenase kinase isoenzyme 2 (PDK2) mRNA	6.37E+00	1.27E-01	8.30E-02	1.58E+01	9.51E-01	6.40E-02	2.35E-02	4.01E-03	8.24E+01	1.05E-02	1.40E-02	6.17E-02	1.26E-02	5.80E-02	2.18E-02	1.49E-02	5.25E-01	1.22E-02	1.52E-02	6.17E-03	4.23E-02	8.76E-03	4.07E-02	4.60E-01	2.27E-02	1.06E-01	2.57E-02	5.21E-02	2.78E-02	8.07E-01	3.81E+01	5.13E-03	8.20E-04	3.61E-03	2.68E-03	3.35E-03	5.85E-02	6.95E-03	9.29E-03	8.90E-03	2.51E+01	2.60E-02
L42452_at	Pyruvate dehydrogenase kinase isoenzyme 3 (PDK3) mRNA	1.51E+04	3.77E+04	4.37E+01	5.02E+03	5.09E+03	6.16E+01	6.56E+04	1.61E+01	8.32E+03	3.07E+00	4.25E-02	7.03E+02	1.09E+02	2.11E+01	5.37E+02	1.53E+01	5.83E-02	1.79E+03	1.51E+02	2.51E+03	8.64E+02	1.61E-01	1.05E-01	2.17E-01	8.73E-02	2.75E+02	7.79E+02	8.62E-01	5.98E-02	1.49E-01	2.30E-01	3.05E-01	3.24E-01	1.08E+01	5.08E+00	1.41E-01	6.19E+03	6.78E+01	1.98E+03	4.66E+05	1.69E+04	1.76E-01
L42542_at	RLIP76 protein mRNA	1.86E+07	6.34E-01	1.06E+00	3.52E+02	7.54E+01	2.69E-01	7.90E-02	2.88E-02	4.05E+01	3.29E-02	1.00E-01	1.23E+00	1.28E-02	5.05E-02	9.22E-02	1.99E-02	3.98E-01	1.19E-02	4.40E-02	4.60E-02	6.49E-02	1.67E-02	9.66E+01	1.74E+00	2.23E+03	1.32E+01	3.39E-02	4.05E-02	6.15E-02	1.60E+00	9.25E+01	1.07E-02	5.16E-03	1.57E-02	4.96E-03	5.66E-03	1.14E-01	1.50E-02	3.03E-02	1.09E-02	3.95E+03	8.32E-02
L42563_at	ATP1AL1 ATP-driven ion pump	5.05E+04	9.24E+02	5.11E+01	2.29E+02	6.13E+01	3.35E-01	1.35E+03	1.54E+00	6.46E+02	4.40E+02	2.92E-01	8.04E+05	3.58E-01	5.42E+00	1.24E+01	5.38E+00	2.54E+02	2.69E+01	1.57E+00	1.76E+02	1.62E+02	1.61E+02	2.28E-01	1.07E+01	1.04E-01	1.13E+03	3.04E-01	2.02E+02	1.67E+00	1.13E-01	2.62E-01	2.86E+00	1.34E+00	2.85E+01	2.88E-01	9.45E-02	2.52E+02	6.81E+00	1.29E+02	7.66E-01	6.88E+04	8.95E+01
