Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
Stat-like protein (Fe65) mRNA	L77864_at	155	A	979	A	1163	P	1623	P	-27	A	718	A	256	A	4225	P	128	A	-280	A	-205	A	-398	P	1357	A	1712	P	401	A	1635	A	150	A	-70	A	3196	P	-413	A	562	P	251	A	-598	A	-953	A	35	A	191	A	-777	A	422	P	458	P	-501	A	7649	P	7717	A	7210	P	5879	A	-1231	A	-392	A	-1461	A	-32	A	-911	A	-1101	A	-1342	A	-2549	A
Protein tyrosine phosphatase mRNA	L77886_at	439	P	3902	P	2097	P	1284	P	2221	P	1157	P	506	P	1003	P	738	P	8155	P	626	P	824	P	1275	P	1517	P	1534	P	4049	P	1269	P	1714	P	1899	P	658	P	984	P	166	A	165	A	878	P	224	A	423	P	111	A	1789	P	362	P	325	M	2889	P	2604	P	2462	P	1409	P	1478	P	473	P	432	A	4427	P	733	P	655	P	1312	P	565	P
Prostate carcinoma tumor antigen (pcta-1) mRNA	L78132_at	145	P	4	A	163	P	94	A	114	A	10	A	174	P	226	A	135	P	102	P	58	A	-81	A	-9	A	-47	A	84	A	18	A	146	A	-74	A	-5	A	0	A	61	A	145	P	150	A	296	P	26	A	229	P	109	P	105	P	93	P	0	A	242	A	184	A	147	A	78	A	40	A	101	A	-134	A	147	A	34	A	47	A	116	A	145	A
"PAR5 gene, complete sequence"	L78267_at	56	A	167	A	134	P	56	A	-235	A	340	A	104	P	939	P	83	A	46	A	239	P	213	A	115	M	147	A	-99	A	-149	A	155	P	-89	A	287	P	211	A	79	A	63	A	36	A	150	P	-6	A	122	A	160	P	123	P	8	A	-5	A	-54	A	393	A	230	M	59	A	111	A	74	A	-298	A	346	P	-153	A	320	P	110	A	-93	A
STAT4 Signal transducer and activator of transcription 4	L78440_at	471	P	684	A	364	A	317	A	385	A	642	A	784	M	967	P	291	M	894	A	1479	A	1808	A	1111	A	696	A	978	A	-386	A	699	A	475	A	1356	A	1936	A	55	A	330	A	246	A	1311	P	175	A	361	A	522	M	232	P	164	A	-65	A	588	A	1471	A	1971	A	2611	A	667	A	752	P	2096	A	866	A	232	A	699	A	1575	A	1355	A
"Rho7 gene extracted from Human BRCA1, Rho7 and vatI genes, and ipf35 gene, partial cds"	L78833_cds2_at	-179	A	-469	A	-90	A	-24	A	-406	A	-98	A	-312	A	499	A	-128	A	-99	A	1547	P	2840	A	-43	A	986	A	733	A	-101	A	-56	A	-105	A	1340	M	587	A	133	A	120	A	-20	A	309	A	53	A	-93	A	-113	A	53	A	110	A	-536	A	1026	A	-763	A	413	A	443	A	-542	A	24	A	-461	A	190	A	203	A	-342	A	128	A	-218	A
Fibrinogen gamma chain and gamma-prime chain genes	M10014_cds1_at	44	A	99	A	68	A	49	A	75	A	22	A	46	A	276	A	72	A	149	A	198	A	65	A	163	A	41	A	52	A	-3	A	130	A	36	A	227	A	122	A	5	A	56	A	70	A	59	A	2	A	134	A	73	A	51	A	39	A	-55	A	431	A	707	A	192	A	266	A	26	A	148	A	355	A	286	A	-44	A	163	A	157	A	145	A
HBG2 Hemoglobin gamma-G 	M10050_at	-115	A	-200	A	-36	A	-54	A	-358	A	-186	A	-145	A	-329	A	-78	A	-398	A	-225	A	-316	A	-495	A	-265	A	-629	A	-422	A	-173	A	-406	A	-417	A	-465	A	-260	A	-104	A	-217	A	-139	A	-236	A	-244	A	-140	A	-119	A	-89	A	-300	A	-431	A	-932	A	-169	A	-601	A	-215	A	-181	A	-403	A	-237	A	-292	A	-322	A	-297	A	-390	A
ASGR1 Asialoglycoprotein receptor 1	M10058_at	-561	A	-1477	A	-685	A	-55	A	-988	A	-620	A	-248	A	-216	A	51	A	-865	A	-2068	A	-2594	A	-2209	A	-1576	A	-1804	A	-338	A	-1471	A	-1388	A	-3261	A	-2270	A	-766	A	-366	A	-954	A	-1235	A	-518	A	-651	A	-671	A	-215	A	-58	A	-260	A	-230	A	-6036	A	-2093	A	-5376	A	-676	A	-698	A	-3414	A	-743	A	-525	A	-1726	A	-2824	A	-2590	A
APOC2 Apolipoprotein C-II	M10612_at	303	P	398	M	736	P	269	A	390	P	463	A	436	P	783	P	229	A	736	P	881	A	1332	P	880	P	879	A	1370	P	1380	P	970	P	748	P	1671	P	1236	P	1208	P	768	P	295	P	889	P	742	P	79	A	145	M	188	A	186	P	170	A	455	A	554	A	666	P	2341	P	98	A	283	A	1009	A	640	A	401	A	411	A	250	A	1017	P
GRL Glucocorticoid receptor	M10901_at	207	P	363	P	318	P	150	P	467	M	629	P	190	A	506	P	110	P	169	A	1429	P	879	P	1241	P	1204	P	646	A	659	P	810	P	1163	P	1497	P	987	P	199	A	531	P	36	A	2200	P	35	A	464	P	110	A	409	P	59	P	50	A	594	A	1004	A	1599	P	1116	A	-44	A	179	A	500	A	841	P	54	A	138	A	531	A	428	P
Alpha-fetoprotein (AFP) gene	M10950_cds2_at	-22	A	0	A	-36	A	-41	A	-91	A	-74	A	-48	A	-24	A	-8	A	-69	A	-36	A	-234	A	-293	A	-82	A	-178	A	-211	A	-49	A	-123	A	-92	A	-225	A	-104	A	-17	A	-61	A	-26	A	-146	A	-74	A	3	A	-51	A	-26	A	-295	A	-42	A	-249	A	-169	A	-440	A	49	A	-18	A	-153	A	-73	A	-302	A	-76	A	-128	A	-139	A
3-HYDROXY-3-METHYLGLUTARYL-COENZYME A REDUCTASE	M11058_at	324	P	186	A	167	P	341	P	-52	A	462	P	275	P	1031	P	-12	A	79	A	363	P	60	A	149	P	590	P	49	A	236	P	65	A	-54	A	412	P	131	A	768	P	321	P	80	P	753	P	1156	P	-64	A	176	P	309	P	151	P	-215	A	133	P	-827	A	70	P	-344	A	-26	A	76	A	-480	A	182	P	-262	A	374	P	110	A	122	A
Endogenous retrovirus envelope region mRNA (PL1)	M11119_at	1018	P	1617	P	1103	P	1047	P	226	A	2319	P	792	P	2445	P	597	P	1424	P	2584	P	4217	P	3619	P	3117	P	3580	P	1791	P	1888	P	1360	P	3874	P	3186	P	890	P	1218	P	1678	P	761	P	1631	P	651	P	567	P	728	P	1583	P	2672	P	2738	P	3352	M	5722	P	6194	P	743	P	727	P	2663	P	2239	P	926	A	1535	A	4516	P	3310	P
"FTL Ferritin, light polypeptide"	M11147_at	16755	P	16739	P	16912	P	16480	P	12779	P	19152	P	18969	P	16556	P	11362	P	17604	P	6529	P	56024	P	35288	P	9582	P	30970	P	32651	P	33785	P	30868	P	18188	P	10688	P	20179	P	17412	P	18179	P	17580	P	19252	P	51237	P	20058	P	31694	P	27493	P	20001	P	27703	P	14887	P	18959	P	20649	P	11002	P	31624	P	31091	P	35539	P	28548	P	18723	P	18317	P	27425	P
OXT Oxytocin	M11186_at	88	A	578	A	456	A	231	A	45	A	530	A	286	A	311	A	-67	A	-60	A	1062	A	2168	A	1516	A	301	A	1144	A	375	A	508	A	68	A	1204	A	1532	A	-36	A	244	A	924	A	-242	A	18	A	268	A	-56	A	26	A	210	A	280	A	1675	A	1832	A	654	A	377	A	-385	A	643	A	1788	A	237	A	262	A	416	A	1301	A	-338	A
GC Group-specific component (vitamin D binding protein)	M11321_at	-79	A	-238	A	-117	A	-34	A	-335	A	-49	A	-170	A	-102	A	-110	A	-314	A	-87	A	-600	A	-596	A	-224	A	-322	A	-324	A	-240	A	-204	A	-699	A	-441	A	-298	A	-187	A	-131	A	-199	A	-288	A	16	A	-65	A	-46	A	-48	A	150	A	-248	A	-265	A	-394	A	-1008	A	-268	A	-138	A	-57	A	-340	A	-272	A	-382	A	-496	A	-358	A
EEF1G Translation elongation factor 1 gamma	M11353_at	17342	P	17765	P	17116	P	20993	P	14277	P	22269	P	18763	P	49355	P	11538	P	21498	P	12918	P	13264	P	17949	P	21527	P	23944	P	15072	P	15977	P	9759	P	8502	P	11566	P	17882	P	17629	P	19798	P	18124	P	17943	P	9624	P	15837	P	9840	P	12141	P	15318	P	19355	P	17162	P	19632	P	21388	P	12722	P	10336	P	10270	P	27115	P	15005	P	31534	P	23632	P	19192	P
RBP1 Cellular retinol-binding protein	M11433_at	239	M	722	P	3870	P	1826	P	488	P	4840	P	1260	P	1421	P	1316	P	3558	P	15	A	-240	A	-115	A	-11	A	2480	A	1405	P	868	P	1052	P	-124	A	65	A	1225	P	98	A	1114	P	248	A	25	A	76	A	86	A	695	P	362	P	-195	A	418	A	-144	A	673	P	302	A	-35	A	388	P	577	A	2228	P	2531	P	1372	P	653	A	2850	P
KNG gene (kininogen) extracted from Human kininogen gene	M11437_cds1_at	22	A	-11	A	-42	A	49	A	440	A	6	A	74	A	-92	A	-56	A	-61	A	-69	A	92	A	-91	A	-76	A	-289	A	-18	A	-78	A	10	A	-48	A	18	A	-53	A	-76	A	-43	A	-43	A	-80	A	91	A	14	A	-48	A	8	A	-115	A	-60	A	385	A	-163	A	-118	A	-277	A	-31	A	-67	A	-95	A	-267	A	-62	A	11	A	-87	A
KNG gene (kininogen) extracted from Human kininogen gene	M11437_cds2_at	48	A	-14	A	62	A	-78	A	-105	A	-39	A	85	A	-85	A	-21	A	-11	A	-137	A	-393	A	-52	A	5	A	-418	A	91	A	101	A	46	A	-569	A	408	A	-313	A	271	A	-399	A	-148	A	-619	A	45	A	124	A	32	A	-16	A	-75	A	455	A	-152	A	545	A	-59	A	26	A	51	A	28	A	-35	A	-455	A	66	A	87	A	-40	A
"Angiogenin gene, and three Alu repetitive sequences"	M11567_rna1_at	-817	A	-783	A	-526	A	-354	A	-970	A	-428	A	-936	A	-1680	A	-514	A	-1521	A	-1571	A	-1556	A	-1882	A	-1050	A	-2225	A	-1198	A	-1120	A	-1238	A	-1910	A	-893	A	-769	A	-150	A	-1492	A	-468	A	-719	A	-651	A	-580	A	-326	A	-316	A	-1288	A	-667	A	-2355	A	-182	A	-2253	A	-286	A	-516	A	-1567	A	-1043	A	-1501	A	-1176	A	-2124	A	-1838	A
MHC class II HLA-SX-alpha gene	M11591_at	-4	A	-30	A	-104	A	-69	A	57	M	-48	A	-76	A	-212	A	-55	A	-114	A	-45	A	-98	A	96	A	35	A	-312	A	-127	A	63	A	-32	A	-233	A	70	A	-143	A	-40	A	-85	A	-16	A	-138	A	-186	A	-83	A	32	A	-90	A	-170	A	-303	A	-538	A	-336	A	-407	A	-107	A	43	A	461	A	87	A	-213	A	-245	A	93	A	5	A
Heat shock protein (hsp 70) gene	M11717_rna1_at	3917	P	8809	P	1062	P	2142	P	3307	P	3220	P	444	P	6047	P	1038	P	1469	P	1339	P	7364	P	46013	P	3194	P	1469	A	3295	P	1881	P	2670	P	2631	P	1123	P	2873	P	20095	P	1477	P	8664	P	15054	P	5396	P	6848	P	13174	P	168	A	2737	P	5937	P	8641	P	5203	P	6142	P	1088	P	13246	P	1105	P	21369	P	1496	P	3319	P	3442	P	2028	P
"COL5A2 Collagen, type V, alpha"	M11718_at	304	P	1064	P	138	P	577	P	260	P	293	P	796	P	744	P	467	P	633	P	410	A	748	A	375	A	1623	P	1137	P	972	P	1546	P	7653	P	759	A	216	A	1044	P	16051	P	6290	P	842	P	12404	P	15622	P	16260	P	651	P	4176	P	7716	P	346	A	442	A	333	A	702	A	183	A	250	A	-211	A	1585	P	797	A	563	P	-431	A	696	P
Terminal transferase mRNA	M11722_at	200	A	49	A	-156	A	73	P	-89	A	44	A	113	A	627	A	184	A	-331	A	288	A	-327	A	-125	A	-336	A	897	A	-47	A	553	A	-275	A	43	A	-423	A	439	A	336	A	309	A	609	A	31	A	174	A	439	A	457	A	175	A	-30	A	-145	A	-225	A	532	A	-502	A	-161	A	229	A	-134	A	294	A	168	A	-307	A	29	A	530	A
PPY Pancreatic polypeptide	M11726_at	91	A	660	A	300	A	126	A	477	A	427	A	76	A	-28	A	-40	A	151	A	879	M	1562	A	1886	P	643	A	312	A	-40	A	380	A	435	A	900	A	1052	A	-68	A	-195	A	-210	A	42	A	233	A	107	A	152	A	71	A	30	A	496	A	1317	P	168	A	259	A	837	A	376	A	368	A	1163	A	781	A	812	A	429	A	1826	A	1136	P
THY-1 MEMBRANE GLYCOPROTEIN PRECURSOR	M11749_at	517	P	521	P	430	P	273	P	248	P	214	P	1067	P	1081	P	1125	P	98	A	2670	P	1578	P	1814	P	3666	P	5038	P	4555	P	3891	P	4147	P	7173	P	2890	P	2631	P	427	P	7683	P	1237	P	637	P	3458	P	422	P	426	P	506	P	471	A	3017	P	972	A	1474	P	932	P	98	A	622	P	1413	A	572	P	643	A	583	P	3810	P	862	A
Gamma-B-crystallin gene (gamma 1-2)	M11973_cds1_at	-127	A	-35	A	29	A	89	A	84	A	95	A	34	A	358	A	-69	A	305	A	218	A	43	A	375	A	253	A	213	A	-229	A	164	A	170	A	0	A	103	A	107	A	46	A	160	A	88	A	29	A	-225	A	-173	A	23	A	62	A	-245	A	236	A	980	A	647	A	292	A	-26	A	-202	A	-1230	A	264	A	-430	A	-39	A	-93	A	-11	A
ERBB2 V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)	M12036_at	-85	A	-1111	A	-550	A	-130	A	-1031	A	-54	A	-438	A	102	A	-167	A	-197	A	-935	A	-1398	A	-755	A	-1145	A	-840	A	-58	A	-429	A	-289	A	-3293	A	-1522	A	-26	A	-52	A	-215	A	-115	A	-47	A	-160	A	-283	A	-94	A	12	A	-366	A	-1584	A	-940	A	-525	A	-430	A	-622	A	-289	A	-3548	A	-771	A	-331	A	-290	A	-2351	A	-821	A
ARH6 Aplysia ras-related homolog 6	M12174_at	1408	P	1329	P	2535	P	1767	P	3928	P	2636	P	1086	P	2176	P	622	P	4463	P	1743	P	6468	P	5025	P	2048	P	3848	P	3066	P	3198	P	433	P	3858	P	5231	P	1593	P	732	P	371	P	1643	P	1424	P	416	A	786	P	428	P	280	P	170	A	2325	P	618	A	1061	A	840	A	582	A	754	P	2558	P	4291	P	1074	P	1317	P	1009	A	3701	P
APOE Apolipoprotein E	M12529_at	5645	P	1314	P	10170	P	3187	P	1887	P	396	P	1839	P	2456	P	1497	P	683	P	7138	P	67627	P	38638	P	5313	P	19557	P	14570	P	35736	P	3042	P	24662	P	60137	P	16905	P	14121	P	2855	P	5278	P	8934	P	1937	P	1293	P	8418	P	15215	P	872	P	39584	P	8545	P	13653	P	16034	P	4977	P	5769	P	11550	P	1313	P	2635	P	4022	P	5759	P	13250	P
"Lecithin-cholesterol acyltransferase mRNA, with 5' and 3' flanking DNA sequences"	M12625_at	429	A	-143	A	1079	A	66	A	162	A	311	A	-189	A	450	A	343	A	264	A	762	A	2015	A	1030	A	808	A	661	A	1034	A	346	A	591	A	2913	A	2162	P	492	A	655	A	198	A	259	A	1187	A	651	A	314	A	457	A	266	A	451	A	5087	P	-144	A	2337	A	1888	A	-461	A	-49	A	-865	A	296	A	-94	A	-503	A	-2159	A	-279	A
IMMUNOGLOBULIN J CHAIN	M12759_at	-16	A	54	A	-27	A	36	A	-438	A	-87	A	-12	A	-70	A	-14	A	-125	A	148	A	92	A	-173	A	35	A	-389	A	-557	A	119	A	-204	A	211	A	-42	A	-84	A	-49	A	-122	A	98	A	-90	A	57	A	1002	P	9	A	-22	A	-185	A	182	A	-892	A	0	A	-141	A	-44	A	1290	P	76	A	46	A	-94	A	74	A	332	A	268	A
"TCRB T-cell receptor, beta cluster"	M12886_at	52	A	-162	A	220	A	-181	A	383	P	20	P	-5	A	-109	A	457	P	-611	A	-1175	A	-131	P	-144	M	-100	A	-805	A	178	A	-366	A	-145	A	320	A	488	P	-107	P	-30	P	100	A	-463	A	143	P	-95	A	-14	P	101	A	-25	A	-411	A	1068	A	948	A	330	M	1188	A	1935	P	1788	P	-769	A	596	A	-9	A	141	A	-1342	A	-891	A
KLK3 Plasma prekallikrein	M13143_at	261	A	221	A	215	A	222	A	310	P	354	A	266	A	627	A	172	A	414	A	581	P	404	A	827	A	555	M	897	P	710	A	569	A	58	A	439	A	535	A	75	A	132	A	191	A	29	A	148	A	134	A	87	A	238	A	90	A	325	A	643	A	836	A	378	A	1484	P	210	M	146	A	807	A	346	A	4	A	153	A	881	P	381	A
HRG Histidine-rich glycoprotein	M13149_at	146	A	143	A	36	A	102	A	38	A	196	A	115	A	-85	A	112	A	224	A	322	A	366	A	510	A	259	A	230	A	109	A	252	A	6	A	233	A	404	A	26	A	2	A	199	A	149	A	78	A	33	A	43	A	71	A	22	A	160	A	224	A	988	A	561	A	985	A	4	A	134	A	451	A	215	A	-193	A	-27	A	513	A	303	A
"ERCC1 Excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)"	M13194_at	1459	P	1534	P	1053	P	1564	P	1093	A	2372	P	1128	P	1247	P	1449	P	1427	P	647	A	508	A	669	A	909	M	949	A	1656	P	1613	P	1271	P	510	A	470	A	1708	P	1883	P	1674	P	1581	P	2255	P	661	P	1206	P	1203	P	1158	P	1278	P	1044	P	40	A	634	A	1001	A	1276	A	1315	A	980	A	1106	P	624	A	1200	A	2561	A	1060	A
CSF2 Colony-stimulating factor 2 (GM-CSF)	M13207_at	182	A	221	A	77	A	-146	A	134	A	-347	A	-474	A	102	A	-161	A	336	A	872	A	584	A	808	A	425	A	356	A	105	A	1082	A	-366	A	157	A	728	A	-511	A	111	A	-411	A	422	A	324	A	-31	A	-376	A	-353	A	-327	A	371	A	-115	A	-1318	A	820	A	3662	A	-362	A	-401	A	423	A	1291	A	485	A	-325	A	-373	A	198	A
N-MYC PROTO-ONCOGENE PROTEIN	M13241_at	-54	A	2993	P	4784	P	3217	P	2559	P	4199	P	116	A	811	A	13795	P	4163	P	1725	P	213	A	144	P	1346	P	-34	A	957	P	0	A	36	A	2680	P	587	P	5530	P	474	P	35	A	520	P	87	A	112	A	70	A	1197	P	114	A	396	A	2634	P	988	P	554	A	170	A	8990	P	51	A	-28	A	168	A	876	A	1277	P	466	A	999	A
ESD Esterase D/formylglutathione hydrolase	M13450_at	2776	P	2478	P	1703	P	3332	P	2244	P	3084	P	2972	P	4487	P	2566	P	3543	P	2410	P	3862	P	3846	P	2432	P	2730	P	1788	P	3182	P	1544	P	3375	P	2274	P	5232	P	8827	P	5732	P	5610	P	6190	P	1957	P	3236	P	3660	P	3363	P	1860	P	2507	P	3464	P	4305	P	4177	P	1433	P	2264	P	1731	P	4016	P	1664	P	2612	P	5333	P	3403	P
MYB Proto-oncogene c-myb {alternative products}	M13666_at	159	A	118	A	141	A	49	A	269	A	175	A	146	A	584	A	71	A	342	A	433	A	721	A	471	A	560	A	443	A	302	A	319	A	97	A	472	A	441	A	121	A	66	P	169	P	218	A	116	A	194	A	-32	A	48	A	48	A	5	A	157	A	747	A	737	A	1501	A	-13	A	146	A	1105	P	245	A	242	A	312	A	536	A	457	A
CP Ceruloplasmin (ferroxidase)	M13699_at	55	A	193	A	57	A	107	A	45	A	94	A	-175	A	-74	A	282	P	-183	A	-18	A	513	A	240	A	76	A	42	A	-236	A	-330	A	4	A	-151	A	-141	A	-62	A	27	A	-25	A	-7	A	0	A	222	A	-69	A	-88	A	8	A	60	A	72	A	-546	A	-92	A	-328	A	-22	A	607	P	48	A	326	P	-267	A	-136	A	99	A	195	A
"G1P2 Interferon, alpha-inducible protein (clone IFI-15K)"	M13755_at	772	P	103	A	191	A	551	A	-187	A	421	A	411	A	382	A	151	A	-128	A	405	A	1229	A	-81	A	1127	A	562	A	1529	P	2831	P	1400	M	-59	A	1128	A	8801	P	1035	P	1195	P	2727	P	2154	P	843	P	1426	P	1243	P	2137	P	-145	A	182	A	-1985	A	-221	A	-147	A	44	A	1482	P	192	A	1487	P	1520	A	109	A	1458	A	2238	A
ADA Adenosine deaminase	M13792_at	841	P	922	P	336	A	578	P	95	A	786	P	670	A	1010	A	373	P	698	A	1091	P	1704	P	1732	A	1275	P	1053	P	593	M	803	A	726	A	1920	P	2119	P	765	P	1605	P	1090	P	1140	P	1630	P	1509	P	937	P	653	P	900	P	872	P	1129	P	1487	A	1115	A	1143	A	358	A	1507	P	1000	A	1163	A	975	A	387	P	723	A	1570	P
"Involucrin gene, exon 2"	M13903_at	521	A	-174	A	226	A	-27	A	-563	A	140	A	-470	A	163	A	217	A	558	A	-248	A	699	A	-548	A	1080	A	-609	A	-203	A	875	A	244	A	721	A	310	A	70	A	502	A	398	A	329	A	195	A	-337	A	226	A	319	A	178	A	-20	A	-42	A	876	A	1304	A	1018	A	-295	A	-45	A	855	A	572	A	326	A	-47	A	-1137	A	-445	A
RPS14 gene (unknown protein) extracted from Human ribosomal protein S14 gene	M13934_cds1_at	-177	A	-250	A	-219	A	-286	A	-401	A	-390	A	-311	A	-903	A	-136	A	-583	A	-719	A	49	A	-688	A	-525	A	-820	A	-560	A	-531	A	-336	A	-992	A	-408	A	-346	A	-105	A	-346	A	-430	A	-471	A	-210	A	-205	A	-115	A	-66	A	-601	A	-522	A	-482	A	-913	A	-2141	A	-416	A	-217	A	-500	A	-528	A	-297	A	-491	A	-116	A	-174	A
RPS14 gene (ribosomal protein S14) extracted from Human ribosomal protein S14 gene	M13934_cds2_at	16439	P	10322	P	13111	P	19939	P	11745	P	18065	P	15394	P	12898	P	18749	P	18668	P	17293	P	5058	P	9203	P	8171	P	5818	P	5247	P	12903	P	15530	P	7406	P	11834	P	16740	P	16187	P	17715	P	16715	P	17216	P	20727	P	17378	P	17147	P	17084	P	9727	P	9264	P	11977	P	20149	P	14934	P	10558	P	16836	P	4712	P	12691	P	18809	P	14629	P	19752	P	7565	P
"Mesothelial keratin K7 (type II) mRNA, 3' end"	M13955_at	385	A	479	A	388	A	363	A	1116	A	477	A	437	A	-113	A	193	A	619	A	423	A	-426	A	515	A	171	A	-592	A	189	A	18	A	99	A	92	A	780	A	491	A	627	A	218	A	543	A	-39	A	397	A	278	A	411	A	-375	A	446	A	0	A	1326	A	1186	A	1152	A	228	A	241	A	413	A	152	A	29	A	498	A	81	A	206	A
IL4 Interleukin 4	M13982_at	-352	A	-826	A	-381	A	-243	A	-735	A	-687	A	-629	A	-1027	A	-384	A	-983	A	-1023	A	-2048	A	-1651	A	-1056	A	-1908	A	-892	A	-1062	A	-714	A	-1958	A	-1569	A	-453	A	-336	A	-443	A	-876	A	-775	A	-237	A	-416	A	-180	A	-620	A	-712	A	-327	A	-2636	A	-2006	A	-3323	A	-546	A	-502	A	-1346	A	-929	A	-475	A	-1516	A	-1202	A	-824	A
UROD Uroporphyrinogen decarboxylase	M14016_at	714	P	519	A	629	P	595	P	301	A	937	P	567	P	786	A	611	P	376	A	599	P	1163	M	832	A	696	P	964	P	447	A	1109	P	755	P	743	A	742	A	1345	P	675	P	931	P	1483	P	1288	P	522	P	1043	P	626	P	1144	P	476	A	1323	P	1342	A	1051	P	965	M	730	P	880	P	1327	P	1337	P	822	A	727	A	939	A	1089	P
C1R Complement component C1r	M14058_at	796	P	1430	P	554	A	1072	P	799	P	1291	P	246	A	659	P	256	A	387	A	103	A	1261	A	2714	P	1399	P	1115	P	3492	P	1886	P	3583	P	759	P	1034	A	1852	P	2163	P	2393	P	711	P	5704	P	15378	P	1977	P	4936	P	1594	P	3916	P	1111	A	570	A	1080	A	801	A	394	A	932	P	3317	P	1852	P	143	A	1178	A	227	A	1451	A
THYROXINE-BINDING GLOBULIN PRECURSOR	M14091_at	16	A	-169	A	-97	A	-66	A	-47	A	97	A	-28	A	31	A	88	A	139	A	-85	A	-535	A	279	P	147	A	-2	A	87	A	-74	A	28	A	238	A	131	A	-75	A	152	A	16	A	-34	A	-29	A	-69	A	-177	A	-57	A	-32	A	0	A	-121	A	876	A	266	A	1018	A	85	A	-14	A	865	A	-209	A	-108	A	-171	A	390	A	136	A
F8C Coagulation factor VIIIc (hemophilia A)	M14113_at	170	A	224	A	211	A	76	A	68	A	232	A	123	A	116	A	21	A	87	A	349	A	671	A	1068	P	395	P	763	P	549	A	351	P	382	A	466	A	263	A	157	A	135	A	226	P	178	A	99	A	155	A	204	A	230	P	64	A	165	A	625	P	771	P	317	P	456	P	107	A	227	A	673	A	149	A	143	A	116	A	198	A	282	A
Gag 1 protein from  Human endogenous retrovirus HERV-K10./ntype=DNA /annot=CDS	M14123_xpt2_at	188	A	143	A	182	M	167	A	232	A	236	A	190	A	280	P	128	A	70	A	121	A	606	A	322	A	135	P	151	A	83	A	308	A	46	A	504	A	202	A	65	A	185	A	336	P	-8	A	93	A	184	A	177	P	82	A	72	A	105	A	242	A	466	A	218	P	325	A	362	A	194	A	173	A	128	A	247	A	193	A	992	A	215	A
Gag 2 protein from  Human endogenous retrovirus HERV-K10./ntype=DNA /annot=CDS	M14123_xpt3_at	31	A	-18	A	-31	A	14	A	-70	A	-42	A	13	A	202	A	3	A	-32	A	-38	A	-27	A	284	A	-94	A	-9	A	7	A	38	A	-34	A	434	A	103	A	41	A	29	A	62	A	95	A	-36	A	-55	A	84	A	17	A	78	A	-60	A	-121	A	225	A	150	A	338	A	-439	A	0	A	-67	A	2	A	34	A	0	A	-81	A	189	A
Neutral protease large subunit from  Human endogenous retrovirus HERV-K10./ntype=DNA /annot=CDS	M14123_xpt4_at	-170	A	-254	A	-254	A	-54	A	-212	A	-135	A	-305	A	-63	A	-58	A	-169	A	-225	A	-163	A	-529	A	-395	A	-302	A	-218	A	-103	A	206	A	-330	A	-723	A	-176	A	-74	A	147	A	-159	A	-204	A	-45	A	-70	A	-11	A	15	A	-75	A	-352	A	-32	A	-532	A	-423	A	-577	A	-134	A	-250	A	-523	A	29	A	-240	A	-1102	A	-5	A
T-cell receptor beta-chain J1.3 gene extracted from Human T-cell receptor germline beta-chain D1.1 and J1.1 to J1.6 genes	M14158_cds4_at	196	A	585	A	125	A	113	A	310	A	254	A	381	A	503	A	103	A	780	A	667	A	622	A	774	P	690	A	790	A	418	A	531	A	463	A	759	A	648	A	426	A	148	A	181	A	449	A	432	A	285	A	312	A	224	A	105	A	366	A	291	A	2033	A	714	A	2131	A	170	A	270	A	807	A	528	A	336	A	392	A	886	A	990	A
T-cell receptor beta-chain J2.1 gene extracted from Human T-cell receptor germline beta-chain D2.1 and J2.1 to J2.7 genes	M14159_cds2_at	-314	A	-368	A	-244	A	-40	A	253	A	-442	A	-326	A	-471	A	-225	A	-623	A	-615	A	1365	A	842	A	-419	A	-731	A	487	A	-130	A	-64	A	689	A	535	A	-5	A	107	A	-137	A	-661	A	-540	A	-172	A	-444	A	-155	A	-75	A	-235	A	-279	A	1326	A	487	A	-801	A	-524	A	-244	A	-682	A	-1283	A	-123	A	-803	A	-1044	A	-856	A
Diazepam binding inhibitor (DBI) mRNA	M14200_rna1_at	3347	P	4331	P	4653	P	3328	P	2433	P	1245	P	751	P	379	A	1358	P	4112	P	5268	P	4960	P	2724	P	2710	P	5273	P	3124	P	10632	P	2238	P	8215	P	3022	P	3061	P	1861	P	457	P	1887	P	1517	P	1497	P	855	P	717	P	1336	P	130	P	2033	P	932	A	4295	P	2791	P	71	A	703	P	1154	P	1035	P	267	A	702	A	1003	P	1133	P
